Applicant ID,Application Date,First Name,Last Name,Gender,Date of Birth,Phone Number,Email,Address,City,State,Zip Code,Country,Education Level,Years of Experience,Desired Salary,Job Title,Status,Supplier Name,Customer Name,Skillset
1001,3-Jun-23,Scott,Sheppard,Male,8/31/1992,421-429-7655x39421,perezjanet@example.org,597 Smith Point,Hollandfort,NV,57588,Micronesia,High School,8,60103.21,Chief Technology Officer,Interviewing,Amasarte,EG Corp.,"python, sql, power bi, .NET, C#, azure"
1002,15-May-23,Stanley,Lewis,Male,4/29/1965,+1-451-574-5308x1681,grossmark@example.com,8116 Stuart Loop,Port Margaretfurt,TN,14726,Greenland,Bachelor's Degree,17,64575.84,"Designer, furniture",Rejected,Egar,GA Inc.,"spark, python, sql, tableau, azure"
1003,4-Aug-23,Javier,Li,Female,3/10/1973,(858)901-5499,katiemaldonado@example.com,5940 Barr Villages Suite 075,Dianaland,TX,4699,China,PhD,20,39422.71,"Sound technician, broadcasting/film/video",Rejected,Glazila,SP Ltd.,"spark, python, sql, tableau, azure"
1004,28-Jul-23,Christopher,Johnston,Other,4/4/2001,(853)681-1839x2010,sheila73@example.com,442 Lewis Mount,Youngfurt,GA,34455,Ghana,High School,8,51045.11,Air cabin crew,Rejected,Jamval,AJM Corp.,"python, sql, power bi, .NET, C#, azure"
1005,5-Jun-23,Melissa,Hicks,Other,6/17/1978,364-575-8478x67812,emilypatterson@example.org,95961 Taylor Circles Apt. 169,East Ashleyborough,IN,21014,Solomon Islands,Master's Degree,0,52792.86,Art therapist,Interviewing,Jaz Rum,JN Inc.,"power bi, sql, snowflake, databricks, azure"
1006,26-Jul-23,Christian,Maddox,Female,6/14/1983,(894)940-2919,pvelasquez@example.net,3030 Bell Islands,Boonefort,NC,34763,Liberia,Master's Degree,18,97746.62,"Engineer, electronics",In Review,LieTan,JR Ltd.,"power bi, sql, snowflake, databricks, azure"
1007,9-Jun-23,Paul,Hammond,Female,8/16/1963,,aclayton@example.net,58473 Jenna Trail,Port Barry,GA,57472,Congo,High School,11,80119.39,"Scientist, research (maths)",Offered,Lloctoy,JT Corp.,"spark, python, sql, tableau, azure"
1008,15-Jul-23,Madison,Williamson,Male,9/7/1978,001-902-992-9557x692,jeffreyellis@example.com,24740 Gregory Stravenue Suite 212,New Luisfort,VA,71682,Pitcairn Islands,Bachelor's Degree,0,41578.78,"Teacher, primary school",Offered,Seapuy,LB Inc.,"power bi, sql, snowflake, databricks, azure"
1009,16-Jun-23,Rachael,Duran,Male,9/11/1997,+1-738-583-6354x63335,hamptontimothy@example.net,375 Flowers Well,Amandashire,PW,25218,Spain,High School,15,44489.6,Phytotherapist,Interviewing,Velvias,VT Ltd.,"python, sql, power bi, .NET, C#, azure"
1010,25-May-23,Sherri,Taylor,Male,4/24/1983,915.372.0499,cshaw@example.net,037 Quinn Route,Garrisonmouth,CA,82074,Gabon,Master's Degree,4,97363.53,"Pilot, airline",Offered,Amasarte,EG Corp.,"power bi, sql, snowflake, databricks, azure"
1011,14-May-23,Jennifer,Weaver,Other,10/22/1998,852.435.8495,sloankrista@example.org,700 Quinn Green Suite 066,Haileyville,MS,37729,Switzerland,PhD,19,39252.38,Theatre director,In Review,Egar,GA Inc.,"power bi, sql, snowflake, databricks, azure"
1012,4-Jun-23,Kyle,Blake,Other,3/25/2001,001-527-907-9332x4819,shelia63@example.net,611 Thomas Dam Suite 296,East Melinda,OH,62970,China,Bachelor's Degree,7,79650.82,Corporate treasurer,Applied,Glazila,SP Ltd.,"spark, python, sql, tableau, azure"
1013,23-Jul-23,James,Bailey,Female,5/12/1983,(606)926-6770,fraziermichelle@example.net,4469 Holt Divide Suite 740,Hahnberg,AZ,61409,Guam,Master's Degree,12,86588.22,Accounting technician,Offered,Jamval,AJM Corp.,"power bi, sql, snowflake, databricks, azure"
